PICK	TEAM	SELECTION	ALTERNATE SELECTION
1	CHICAGO	Caleb Williams	
2	WASHINGTON	Jayden Daniels	
3	NEW ENGLAND	Drake Maye	
4	ARIZONA	Marvin Harrison Jr.	
5	MINNESOTA	J.J. McCarthy	
6	NEW YORK GIANTS	Malik Nabers	Rome Odunze
7	TENNESSEE	Joe Alt	
8	ATLANTA	Laiatu Latu	Byron Murphy II
9	CHICAGO	Rome Odunze	Malik Nabers
10	NEW YORK JETS	Brock Bowers	Taliese Fuaga
11	LOS ANGELES CHARGERS	JC Latham	Laiatu Latu
12	DENVER	Jared Verse	
13	LAS VEGAS	Terrion Arnold	
14	NEW ORLEANS	Olumuyiwa Fashanu	
15	INDIANAPOLIS	Quinyon Mitchell	
16	SEATTLE	Byron Murphy II	
17	JACKSONVILLE	Kool-Aid McKinstry	
18	CINCINNATI	Amarius Mims	
19	LOS ANGELES RAMS	Graham Barton	
20	PITTSBURGH	Tyler Guyton	
21	MIAMI	Jordan Morgan	
22	PHILADELPHIA	Taliese Fuaga	
23	LOS ANGELES CHARGERS	Jer'Zhan Newton	
24	DALLAS	Troy Fautanu	
25	GREEN BAY	Cooper DeJean	
26	TAMPA BAY	Chop Robinson	
27	ARIZONA	Nate Wiggins	
28	BUFFALO	Brian Thomas Jr.	
29	DETROIT	Darius Robinson	
30	BALTIMORE	Patrick Paul	
31	SAN FRANCISCO	Jackson Powers-Johnson	
31	KANSAS CITY	Xavier Worthy	
ALT1	Xavier Legette	
ALT2	Adonai Mitchell	
ALT3	Michael Penix Jr.	
ALT4	Bo Nix	
ALT5	Keon Coleman	
