PICK	TEAM	SELECTION	ALTERNATE SELECTION
1	CHICAGO	Caleb Williams	
2	WASHINGTON	Jayden Daniels	Drake Maye
3	NEW ENGLAND	Drake Maye	
4	ARIZONA	Marvin Harrison Jr.	J.J. McCarthy
5	MINNESOTA	J.J. McCarthy	
6	NEW YORK GIANTS	Malik Nabers	
7	TENNESSEE	Joe Alt	
8	ATLANTA	Dallas Turner	
9	CHICAGO	Rome Odunze	
10	NEW YORK JETS	Brock Bowers	
11	LOS ANGELES CHARGERS	JC Latham	
12	DENVER	Laiatu Latu	Bo Nix
13	LAS VEGAS	Michael Penix Jr.	
14	NEW ORLEANS	Olumuyiwa Fashanu	
15	INDIANAPOLIS	Quinyon Mitchell	
16	SEATTLE	Byron Murphy II	
17	JACKSONVILLE	Brian Thomas Jr.	
18	CINCINNATI	Taliese Fuaga	
19	LOS ANGELES RAMS	Jer'Zhan Newton	Jared Verse
20	PITTSBURGH	Xavier Worthy	
21	MIAMI	Jared Verse	
22	PHILADELPHIA	Terrion Arnold	
23	LOS ANGELES CHARGERS	Adonai Mitchell	
24	DALLAS	Graham Barton	
25	GREEN BAY	Cooper DeJean	
26	TAMPA BAY	Chop Robinson	
27	ARIZONA	Darius Robinson	
28	BUFFALO	Kool-Aid McKinstry	
29	DETROIT	Nate Wiggins	
30	BALTIMORE	Jordan Morgan	
31	SAN FRANCISCO	Tyler Guyton	
32	KANSAS CITY	Xavier Legette	Adonai Mitchell
ALT1	Edgerrin Cooper
ALT2	Jackson Powers-Johnson
ALT3	Kingsley Suamataia
ALT4	Troy Franklin
ALT5	Tyler Nubin
