"Link","Name","Pos","Year","College","RAS","AllTime"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=25302&ovl=Ball+State"">Link</a>","Clayton Coll","LS","2024","Ball State","10.00","10.00"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=25180&ovl=Texas"">Link</a>","Adonai Mitchell","WR","2024","Texas","9.99","9.99"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=25064&ovl=Texas+Christian"">Link</a>","Brandon Coleman","OG","2024","Texas Christian","9.98","9.98"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=19318&ovl=South+Dakota+State"">Link</a>","Mason McCormick","OG","2024","South Dakota State","9.97","9.97"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24937&ovl=Louisville"">Link</a>","Isaac Guerendo","RB","2024","Louisville","9.97","9.97"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=25242&ovl=Southern+California"">Link</a>","Jarrett Kingston","OG","2024","Southern California","9.94","9.94"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=25476&ovl=Southern+Illinois"">Link</a>","Justin Strong","RB","2024","Southern Illinois","9.94","9.94"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=25136&ovl=Penn+State"">Link</a>","Theo Johnson","TE","2024","Penn State","9.93","9.93"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=24952&ovl=Illinois"">Link</a>","Tip Reiman","TE","2024","Illinois","9.92","9.92"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=25047&ovl=Texas+Tech"">Link</a>","Myles Cole","DE","2024","Texas Tech","9.92","9.92"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=25166&ovl=Washington"">Link</a>","Rome Odunze","WR","2024","Washington","9.92","9.92"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=25191&ovl=Clemson"">Link</a>","Ruke Orhorhoro","DT","2024","Clemson","9.92","9.92"
"<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""http://RAS.football/ras-information/?PlayerID=25199&ovl=North+Carolina"">Link</a>","Devontez Walker","WR","2024","North Carolina","9.92","9.92"
