Name	Pos	Year	College	RAS	ALLTIME
Garrison Grimes	LS	2026	BYU	10.00	10.00
Lorenzo Styles Jr.	CB	2026	Ohio State	9.99	9.99
Taylen Green	QB	2026	Arkansas	9.99	9.99
Monroe Freeling	OT	2026	Georgia	9.99	9.99
Jordan Van den Berg	DT	2026	Georgia Tech	9.99	9.99
Jeff Caldwell	WR	2026	Cincinnati	9.99	9.99
Enrique Cruz Jr.	OG	2026	Kansas	9.99	9.99
Sonny Styles	LB	2026	Ohio State	9.99	9.99
Tomas Rimac	OG	2026	Virginia Tech	9.97	9.97
Jeff Sims	QB	2026	Arizona State	9.97	9.97
Jake Slaughter	OC	2026	Florida	9.97	9.97
Micah Morris	OG	2026	Georgia	9.96	9.96
Trey Zuhn III	OT	2026	Texas A&M	9.96	9.96
J. Michael Sturdivant	WR	2026	Florida	9.96	9.96
Dani Dennis-Sutton	DE	2026	Penn State	9.96	9.96
DeMonte Capehart	DT	2026	Clemson	9.96	9.96
Bryce Lance	WR	2026	North Dakota State	9.95	9.95
Malachi Lawrence	DE	2026	Central Florida	9.95	9.95
Treydan Stukes	CB	2026	Arizona	9.95	9.95
Ja'Qurious Conley	SS	2026	Charlotte	9.94	9.94
Sam Roush	TE	2026	Stanford	9.94	9.94
Rocco Underwood	LS	2026	Florida	9.93	9.93
Jayden Loving	DT	2026	Wake Forest	9.93	9.93
Malik McCain	WR	2026	Arizona State	9.92	9.92
Blake Miller	OT	2026	Clemson	9.90	9.90
Uar Bernard	DT	2026	Nigeria	9.90	9.90
Kelvin Gilliam	DT	2026	Virginia Tech	9.90	9.90
Noah Fenske	OC	2026	Southern Illinois	9.90	9.90
Ted Hurst	WR	2026	Georgia State	9.90	9.90
Michael Heldman	DE	2026	Central Michigan	9.90	9.90
Daylen Everette	CB	2026	Georgia	9.89	9.89
Evan Svoboda	TE	2026	Wyoming	9.89	9.89
Bryce George	OG	2026	Iowa	9.89	9.89
Jager Burton	OC	2026	Kentucky	9.88	9.88
Mike Washington Jr.	RB	2026	Arkansas	9.88	9.88
Jake Rizy	OG	2026	Florida State	9.88	9.88
Cole Payton	QB	2026	North Dakota State	9.87	9.87
Max Iheanachor	OT	2026	Arizona State	9.86	9.86
Chase Bisontis	OG	2026	Texas A&M	9.85	9.85
Jake Golday	LB	2026	Cincinnati	9.85	9.85
Chris Johnson	CB	2026	San Diego State	9.84	9.84
Jalen Farmer	OG	2026	Kentucky	9.83	9.83
Caleb Banks	DT	2026	Florida	9.83	9.83
Oscar Delp	TE	2026	Georgia	9.83	9.83
Wesley Bailey	DE	2026	Louisville	9.83	9.83
Skyler Bell	WR	2026	Connecticut	9.83	9.83
Jack Dingle	LB	2026	Cincinnati	9.82	9.82
Anthony Hill Jr.	LB	2026	Texas	9.81	9.81
Austin Barber	OT	2026	Florida	9.81	9.81
Spencer Fano	OT	2026	Utah	9.80	9.80
Justin Pickett	OG	2026	Duke	9.80	9.80
Noah Short	RB	2026	Army	9.78	9.78
Zach Durfee	DE	2026	Washington	9.78	9.78
John Michael Gyllenborg	TE	2026	Wyoming	9.78	9.78
Rene Konga	DT	2026	Louisville	9.78	9.78
Zion Washington	SS	2026	Boise State	9.77	9.77
Caleb Lomu	OT	2026	Utah	9.77	9.77
Nick Dawkins	OC	2026	Penn State	9.77	9.77
Genesis Smith	FS	2026	Arizona	9.76	9.76
VJ Payne	SS	2026	Kansas State	9.74	9.74
Ephesians Prysock	CB	2026	Washington	9.74	9.74
David Chapeau	PK	2026	Louisville	9.73	9.73
Sawyer Robertson	QB	2026	Baylor	9.72	9.72
Jack Kelly	LB	2026	BYU	9.72	9.72
Dillon Thieneman	SS	2026	Oregon	9.71	9.71
Karson Sharar	LB	2026	Iowa	9.71	9.71
Jaren Kanak	FB	2026	Oklahoma	9.70	9.70
Dean Connors	RB	2026	Houston	9.70	9.70
Jaden Keller	LB	2026	Virginia Tech	9.69	9.69
Jonas King	DT	2026	Mercyhurst	9.68	9.68
Jermod McCoy	CB	2026	Tennessee	9.67	9.67
Aaron Hall	DT	2026	Duke	9.67	9.67
Sam Scott	RB	2026	Wyoming	9.66	9.66
Paul Rubelt	OT	2026	Central Florida	9.66	9.66
Colton Hood	CB	2026	Tennessee	9.66	9.66
David Bailey	DE	2026	Texas Tech	9.65	9.65
Ben Mann	LS	2026	Boston College	9.64	9.64
Mason Reiger	DE	2026	Wisconsin	9.64	9.64
Logan Jones	OC	2026	Iowa	9.63	9.63
Alex Wollschlaeger	OT	2026	Kentucky	9.62	9.62
Josh Gesky	OG	2026	Illinois	9.62	9.62
Chip Trayanum	RB	2026	Toledo	9.62	9.62
Jacob Rodriguez	LB	2026	Texas Tech	9.61	9.61
Henry Lutovsky	OG	2026	Nebraska	9.61	9.61
Haynes King	QB	2026	Georgia Tech	9.61	9.61
Jeadyn Lukus	CB	2026	Clemson	9.61	9.61
Ke'Travion Hargrove	RB	2026	Old Dominion	9.61	9.61
Kendrick Law	WR	2026	Kentucky	9.60	9.60
Jaden Dugger	LB	2026	Louisiana	9.60	9.60
Mark Gronowski	QB	2026	Iowa	9.60	9.60
Jalon Kilgore	SS	2026	South Carolina	9.60	9.60
Malick Meiga	WR	2026	Coastal Carolina	9.60	9.60
Logan Fano	DE	2026	Utah	9.60	9.60
Grant Finley	DT	2026	Missouri Western State	9.60	9.60
Gabe Jacas	DE	2026	Illinois	9.59	9.59
Tanner Koziol	TE	2026	Houston	9.58	9.58
Kyron Drones	QB	2026	Virginia Tech	9.58	9.58
Justin Jones	RB	2026	Auburn	9.57	9.57
De'Zhaun Stribling	WR	2026	Mississippi	9.57	9.57
Mory Bamba	CB	2026	BYU	9.56	9.56
Tanoa Togiai	OG	2026	Utah	9.55	9.55
Caden Barnett	OG	2026	Wyoming	9.54	9.54
Keylan Rutledge	OG	2026	Georgia Tech	9.53	9.53
Jimmy Rolder	LB	2026	Michigan	9.53	9.53
Omari Evans	WR	2026	Washington	9.52	9.52
Kenyon Sadiq	TE	2026	Oregon	9.52	9.52
Jay Hunt	DT	2026	Cincinnati	9.51	9.51
Malik Muhammad	CB	2026	Texas	9.51	9.51
Rickie Johnson	WR	2026	Utah Tech	9.51	9.51
Caleb Douglas	WR	2026	Texas Tech	9.50	9.50
Jake McConnachie	WR	2026	Massachusetts	9.49	9.49
Tyce Westland	DE	2026	Wyoming	9.48	9.48
Heinrich Haarberg	TE	2026	Nebraska	9.48	9.48
Latrell McCutchin Sr.	CB	2026	Houston	9.48	9.48
Eli Raridon	TE	2026	Notre Dame	9.46	9.46
Reid Williford	LB	2026	Charlotte	9.46	9.46
Daniel Sobkowicz	WR	2026	Illinois State	9.46	9.46
Brady Denaburg	PK	2026	Minnesota	9.45	9.45
Dasan McCullough	LB	2026	Nebraska	9.45	9.45
Landon Robinson	DT	2026	Navy	9.45	9.45
Adam Randall	RB	2026	Clemson	9.44	9.44
Kyle Dixon	WR	2026	Culver-Stockton	9.42	9.42
Eli Stowers	TE	2026	Vanderbilt	9.42	9.42
Seydou Traore	TE	2026	Mississippi State	9.42	9.42
Curtis Cooper	LS	2026	Duke	9.42	9.42
Kenneth Harris	CB	2026	Oklahoma State	9.41	9.41
Jude Bowry	OT	2026	Boston College	9.40	9.40
Dillon Bell	WR	2026	Georgia	9.40	9.40
Ja'Kobi Lane	WR	2026	Southern California	9.39	9.39
Will Lee III	CB	2026	Texas A&M	9.39	9.39
T.J. Parker	DE	2026	Clemson	9.39	9.39
Ryan Mosesso	OG	2026	Massachusetts	9.38	9.38
Anterio Thompson	DT	2026	Washington	9.38	9.38
Jaydn Ott	RB	2026	Oklahoma	9.37	9.37
Caleb Tiernan	OT	2026	Northwestern	9.37	9.37
Zaylin Wood	DT	2026	Vanderbilt	9.36	9.36
Adam Saul	PK	2026	Ball State	9.36	9.36
Carson York	LS	2026	Wyoming	9.35	9.35
Seth McGowan	RB	2026	Kentucky	9.34	9.34
Kaleb Elarms-Orr	LB	2026	Texas Christian	9.33	9.33
Casey Cain	WR	2026	Liberty	9.32	9.32
Wesley Grimes	WR	2026	North Carolina State	9.32	9.32
Zach Barlev	OG	2026	Old Dominion	9.32	9.32
Cian Slone	DE	2026	North Carolina State	9.30	9.30
Delby Lemieux	OG	2026	Dartmouth	9.30	9.30
Carsen Ryan	TE	2026	BYU	9.28	9.28
Zane Durant	DT	2026	Penn State	9.28	9.28
Jesulayomi Ojutalayo	WR	2026	Wilfrid Laurier	9.28	9.28
Ashton Ngo	LS	2026	Arkansas	9.27	9.27
Julian Neal	CB	2026	Arkansas	9.27	9.27
Kolbe Katsis	WR	2026	Northern Arizona	9.27	9.27
Austin Collins	OC	2026	Syracuse	9.27	9.27
Payton Zdroik	DT	2026	Air Force	9.26	9.26
Tyler Miller	OT	2026	Iowa State	9.26	9.26
Dallen Bentley	TE	2026	Utah	9.26	9.26
Eli Heidenreich	WR	2026	Navy	9.25	9.25
Nate Mikell	QB	2026	Southeastern Florida	9.25	9.25
Matthew Hibner	TE	2026	Southern Methodist	9.25	9.25
Gavin Wimsatt	QB	2026	Jacksonville State	9.25	9.25
Zach Calzada	QB	2026	Kentucky	9.24	9.24
Brandon Cisse	CB	2026	South Carolina	9.24	9.24
Javin Wright	LB	2026	Nebraska	9.24	9.24
Liam Reardon	LS	2026	Northwestern	9.24	9.24
David Reese	LB	2026	Syracuse	9.24	9.24
David Gusta	DT	2026	Kentucky	9.24	9.24
Dillon Wade	OG	2026	Auburn	9.23	9.23
Justin Jefferson	LB	2026	Alabama	9.23	9.23
Logan Taylor	OG	2026	Boston College	9.20	9.20
